,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
701280,2021-01-01 00:00:00,-0.948315,-1.29987,2.52648,35.6484,0.23172600000000002,42.2461,39.7696,55.6658,51.0384,81.4331,67.0912,158.009,123.869,276.981,336.819,450.145,502.759,460.145,355.659,382.048,324.012,408.55300000000005,415.635,349.366,337.439,339.905,323.123,376.983,,,,,,,,,,,,,,,,,,,,,,,,,
701281,2021-01-01 00:01:00,-1.0781399999999999,-1.55924,2.29992,35.7236,0.23172600000000002,42.7768,40.4615,56.0995,51.6616,80.8791,67.9954,164.229,126.014,278.74,334.156,440.973,502.02,471.99,361.74,385.842,324.997,409.343,413.964,349.94300000000004,333.042,338.086,321.41200000000003,378.538,,,,,,,,,,,,,,,,,,,,,,,,,
701282,2021-01-01 00:02:00,-1.0508600000000001,-1.58057,2.29622,35.5839,0.23172600000000002,42.6242,40.6932,56.3619,51.0659,80.0825,68.1309,161.64600000000002,125.65100000000001,278.797,336.941,445.44699999999995,496.024,460.95300000000003,357.405,383.51300000000003,325.454,408.11400000000003,413.486,349.68199999999996,336.033,340.389,323.655,378.309,,,,,,,,,,,,,,,,,,,,,,,,,
701283,2021-01-01 00:03:00,-1.2646700000000002,-1.62778,2.1086,35.4769,0.23172600000000002,42.1628,40.6225,55.6014,50.7821,77.9063,65.903,158.41899999999998,124.943,279.639,337.93,441.811,494.952,467.29,360.939,382.934,322.925,409.36400000000003,414.05800000000005,349.42400000000004,338.139,341.56800000000004,320.499,379.345,,,,,,,,,,,,,,,,,,,,,,,,,
701284,2021-01-01 00:04:00,-1.37398,-1.62493,2.10137,35.5176,0.23172600000000002,43.5401,41.5129,56.2557,51.4039,78.7286,72.2558,165.93599999999998,127.96799999999999,280.032,332.289,435.07300000000004,494.49,474.11699999999996,364.236,386.44,327.332,409.806,413.972,348.936,335.462,340.82599999999996,323.574,379.314,,,,,,,,,,,,,,,,,,,,,,,,,
701285,2021-01-01 00:05:00,-1.27968,-1.67705,2.05415,35.2414,0.23172600000000002,43.739,41.288999999999994,55.8968,50.9718,80.3023,70.2571,166.204,128.02100000000002,277.522,329.173,431.269,496.519,479.74699999999996,370.70300000000003,386.598,327.459,406.463,411.024,347.847,334.525,341.86199999999997,323.849,379.98,,,,,,,,,,,,,,,,,,,,,,,,,
701286,2021-01-01 00:06:00,-1.20117,-1.81607,2.0784,35.7461,0.23172600000000002,43.1746,40.6764,53.937,50.6285,79.2647,68.9965,166.74900000000002,128.196,277.593,334.986,441.157,496.792,463.62,358.76300000000003,385.409,323.399,404.579,409.43300000000005,349.087,339.236,343.789,325.98,375.792,,,,,,,,,,,,,,,,,,,,,,,,,
701287,2021-01-01 00:07:00,-1.1665299999999998,-2.16721,1.72153,36.3513,0.23172600000000002,43.1077,40.0227,54.8593,48.9975,77.5205,66.7583,168.892,128.547,273.893,328.509,440.561,499.251,467.62699999999995,361.14599999999996,387.087,324.161,405.81300000000005,410.838,351.17900000000003,340.44,341.792,325.133,375.791,,,,,,,,,,,,,,,,,,,,,,,,,
701288,2021-01-01 00:08:00,-1.01963,-2.24842,1.64411,36.4387,0.23172600000000002,43.4073,41.0563,56.0436,52.082,83.8347,73.3597,167.59799999999998,127.37299999999999,279.491,337.72900000000004,450.139,510.611,467.22,353.798,383.42400000000004,325.181,407.14599999999996,410.776,350.333,335.38599999999997,340.19300000000004,323.491,376.615,,,,,,,,,,,,,,,,,,,,,,,,,
701289,2021-01-01 00:09:00,-0.916407,-2.2122599999999997,1.6228799999999999,36.6861,0.23172600000000002,43.9879,41.2006,56.1464,51.5057,82.9099,73.4974,167.908,127.38600000000001,282.198,344.895,459.776,507.38,455.166,349.397,382.233,322.697,405.73199999999997,411.654,349.644,338.733,340.842,327.115,375.964,,,,,,,,,,,,,,,,,,,,,,,,,
